rpu,billPeriodStart,billPeriodEnd,subTotal,kwh
505220901011,2025-03-06,2025-05-07,13570.19,2910.0
505220901011,2025-01-07,2025-03-06,9918.2,2123.0
505220901011,2024-11-05,2025-01-07,15445.69,3350.0
505220901011,2024-09-05,2024-11-05,17068.56,3663.0
505220901011,2024-07-05,2024-09-05,16317.04,3501.0
505220901011,2024-05-07,2024-07-05,15483.53,3402.0
505220901011,2024-03-07,2024-05-07,14052.33,3086.0
505220901011,2024-01-08,2024-03-07,7294.35,1607.0
505220901011,2023-11-07,2024-01-08,7503.37,1668.0
505220901011,2023-09-07,2023-11-07,14225.43,3134.0
505220901011,2023-07-07,2023-09-07,14626.19,3205.0
505220901011,2023-05-09,2023-07-07,15049.67,3307.0
505220901011,2023-03-08,2023-05-09,14426.83,3255.0
505220901011,2023-01-07,2023-03-08,10688.46,2458.0
505220901011,2022-11-07,2023-01-07,7095.26,1591.0
505220901011,2022-09-10,2022-11-07,5768.33,1307.0
436010605094,2025-03-19,2025-05-19,22163.85,4763.0
436010605094,2025-01-17,2025-03-19,19567.16,4204.0
436010605094,2024-11-15,2025-01-17,19285.92,4187.0
436010605094,2024-09-18,2024-11-15,19814.92,4255.0
436010605094,2024-07-17,2024-09-18,21336.53,4583.0
436010605094,2024-05-17,2024-07-17,24718.37,5441.0
436010605094,2024-03-19,2024-05-17,22404.02,4930.0
436010605094,2024-01-18,2024-03-19,18389.84,4077.0
436010605094,2023-11-17,2024-01-18,17014.6,3803.0
436010605094,2023-09-19,2023-11-17,20597.36,4545.0
436010605094,2023-07-19,2023-09-19,22609.1,4963.0
436010605094,2023-05-19,2023-07-19,26534.96,5843.0
436010605094,2023-03-21,2023-05-19,21341.54,4823.0
436010605094,2023-01-19,2023-03-21,18894.37,4358.0
436010605094,2022-11-17,2023-01-19,19064.84,4349.0
436010605094,2022-09-20,2022-11-17,18934.08,4325.0
436010605094,2022-07-19,2022-09-20,,4517.0
436010605094,2022-05-19,2022-07-19,,5150.0
436010605094,2022-03-18,2022-05-19,,4883.0
436010605094,2022-01-19,2022-03-18,,3589.0
436010605094,2021-11-18,2022-01-19,,3837.0
436010605094,2021-09-17,2021-11-18,,4096.0
436010605094,2021-07-19,2021-09-17,,3608.0
436010605094,2021-05-19,2021-07-19,,4118.0
436010605094,2021-03-18,2021-05-19,,4077.0
436010605094,2021-01-18,2021-03-18,,2920.0
436010605094,2020-11-17,2021-01-18,,2966.0
441170106489,2025-03-11,2025-05-12,20860.65,4482.0
441170106489,2025-01-10,2025-03-11,17035.53,3658.0
441170106489,2024-11-08,2025-01-10,22093.82,4799.0
441170106489,2024-09-10,2024-11-08,24082.9,5175.0
441170106489,2024-07-10,2024-09-10,24143.2,5188.0
441170106489,2024-05-10,2024-07-10,25583.44,5632.0
441170106489,2024-03-11,2024-05-10,21212.86,4667.0
441170106489,2024-01-11,2024-03-11,15928.16,3529.0
441170106489,2023-11-10,2024-01-11,15553.39,3475.0
441170106489,2023-09-12,2023-11-10,16406.62,3617.0
441170106489,2023-07-12,2023-09-12,17577.78,3855.0
441170106489,2023-05-12,2023-07-12,20353.01,4478.0
441170106489,2023-03-13,2023-05-12,18012.07,4068.0
441170106489,2023-01-12,2023-03-13,15897.05,3664.0
441170106489,2022-11-10,2023-01-12,15640.03,3565.0
441170106489,2022-09-12,2022-11-10,15295.82,3491.0
441170106489,2022-07-13,2022-09-12,,3363.0
441170106489,2022-05-13,2022-07-13,,4174.0
441170106489,2022-03-14,2022-05-13,,4003.0
441170106489,2022-01-13,2022-03-14,,2912.0
441170106489,2021-11-11,2022-01-13,,3091.0
441170106489,2021-09-11,2021-11-11,,3350.0
441170106489,2021-07-13,2021-09-11,,3092.0
441170106489,2021-05-12,2021-07-13,,2445.0
441170106489,2021-03-11,2021-05-12,,1954.0
441170106489,2021-01-12,2021-03-11,,2456.0
441170106489,2020-11-10,2021-01-12,,2465.0
432191201041,2025-04-14,2025-06-13,13658.31,2929.0
432191201041,2025-02-12,2025-04-14,16241.51,3486.0
432191201041,2024-12-12,2025-02-12,15553.61,3342.0
432191201041,2024-10-14,2024-12-12,17226.29,3697.0
432191201041,2024-08-14,2024-10-14,21081.38,4528.0
432191201041,2024-06-13,2024-08-14,21314.25,4604.0
432191201041,2024-04-12,2024-06-13,23069.79,5077.0
432191201041,2024-02-13,2024-04-12,16796.98,3692.0
432191201041,2023-12-14,2024-02-13,13317.37,2959.0
432191201041,2023-10-13,2023-12-14,15141.85,3366.0
432191201041,2023-08-14,2023-10-13,18612.0,4109.0
432191201041,2023-06-14,2023-08-14,21638.09,4718.0
432191201041,2023-04-14,2023-06-14,21244.87,4725.0
432191201041,2023-02-13,2023-04-14,16564.0,3773.0
432191201041,2022-12-14,2023-02-13,13457.86,3118.0
432191201041,2022-10-13,2022-12-14,13988.76,3187.0
432191201041,2022-08-16,2022-10-13,13622.53,3116.0
432191201041,2022-06-15,2022-08-16,14937.48,3442.0
432191201041,2022-04-13,2022-06-15,15972.9,3674.0
432191201041,2022-02-14,2022-04-13,15594.35,3702.0
432191201041,2021-12-15,2022-02-14,14332.11,3419.0
432191201041,2021-10-15,2021-12-15,,3812.0
432191201041,2021-08-17,2021-10-15,,3618.0
432191201041,2021-06-16,2021-08-17,,3116.0
432191201041,2021-04-15,2021-06-16,,3283.0
432191201041,2021-02-12,2021-04-15,,2828.0
432191201041,2020-12-14,2021-02-12,,2273.0
432191201041,2020-10-14,2020-12-14,,2454.0
432191201041,2020-08-13,2020-10-14,,2907.0
432191201041,2020-06-12,2020-08-13,,2966.0
432191201041,2020-04-14,2020-06-12,,2230.0
432191201041,2020-02-12,2020-04-14,,1729.0
442190701126,2025-04-08,2025-06-09,15513.39,3329.0
442190701126,2025-02-06,2025-04-08,15063.53,3232.0
442190701126,2024-12-09,2025-02-06,12742.19,2735.0
442190701126,2024-10-08,2024-12-09,15328.91,3288.0
442190701126,2024-08-08,2024-10-08,17152.07,3681.0
442190701126,2024-06-07,2024-08-08,20142.54,4350.0
442190701126,2024-04-08,2024-06-07,22136.79,4871.0
442190701126,2024-02-07,2024-04-08,14650.18,3218.0
442190701126,2023-12-09,2024-02-07,10372.75,2301.0
442190701126,2023-10-09,2023-12-09,12809.38,2845.0
442190701126,2023-08-09,2023-10-09,19758.02,4363.0
442190701126,2023-06-08,2023-08-09,24261.81,5292.0
442190701126,2023-04-10,2023-06-08,23373.28,5200.0
442190701126,2023-02-07,2023-04-10,21507.49,4904.0
442190701126,2022-12-08,2023-02-07,14552.55,3373.0
442190701126,2022-10-07,2022-12-08,15705.55,3580.0
442190701126,2022-08-09,2022-10-07,16189.26,3706.0
442190701126,2022-06-08,2022-08-09,17318.04,3993.0
442190701126,2022-04-06,2022-06-08,23008.16,5299.0
442190701126,2022-02-04,2022-04-06,15393.01,3654.0
442190701126,2021-12-08,2022-02-04,9834.28,2341.0
442190701126,2021-10-08,2021-12-08,,3451.0
442190701126,2021-08-10,2021-10-08,,4277.0
442190701126,2021-06-09,2021-08-10,,4852.0
442190701126,2021-04-08,2021-06-09,,5970.0
442190701126,2021-02-05,2021-04-08,,4821.0
442190701126,2020-12-07,2021-02-05,,3477.0
442190701126,2020-10-07,2020-12-07,,3931.0
442190701126,2020-08-06,2020-10-07,,4972.0
442190701126,2020-06-05,2020-08-06,,5568.0
442190701126,2020-04-03,2020-06-05,,6507.0
442190701126,2020-02-05,2020-04-03,,5044.0
432230504331,2025-03-07,2025-05-08,15443.81,3314.0
432230504331,2025-01-08,2025-03-07,16826.88,3613.0
432230504331,2024-11-06,2025-01-08,22433.34,4873.0
432230504331,2024-09-06,2024-11-06,24300.91,5222.0
432230504331,2024-07-08,2024-09-06,23164.34,4977.0
432230504331,2024-05-08,2024-07-08,24496.45,5392.0
432230504331,2024-03-08,2024-05-08,22983.73,5058.0
432230504331,2024-01-09,2024-03-08,5066.27,1111.0
432230504331,2023-11-08,2024-01-09,11517.24,2569.0
432230504331,2023-09-08,2023-11-08,11673.95,2569.0
432230504331,2023-07-10,2023-09-08,11738.18,2569.0
